specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
SD00010467,NA,NA,NA,NA,NA,NA,y,y
SD00010468,1.6506352089999998,9.5,13,1,0.5,0,y,y
SD00010469,2.1272186147272727,3,3.6363636363636362,0.36363636363636365,2,0,y,y
SD00010470,2.110173160181818,0.7272727272727273,1.4545454545454546,0.5454545454545454,0.18181818181818182,0.09090909090909091,y,y
SD00010471,1.6105614972,11,5,1.4,0.8,0.2,y,y
SD00010472,1.485416666625,1.75,1.125,0.125,0.125,0,y,y
SD00010473,1.8697390573333332,3.5,2.5,0.8333333333333334,0.8333333333333334,0,y,y
SD00010474,1.985576923,6,5,1.5,1.5,0.5,y,y
SD00010475,1.6625,6,2.75,0.75,1.25,0,y,y
SD00010476,1.9,1.5,1,0,0.5,0,y,y
SD00010477,1.7666666665,2,4,0.5,1.5,0.5,y,y
SD00010478,1.9428571430000001,2.5,2.5,0,0.5,0.5,y,y
SD00010480,1.225,3.5,1,0,0,0,y,n
SD00010481,1.85,11,4,2,3,0,y,y
SD00010482,1.8606060606666668,3.3333333333333335,2.6666666666666665,0.3333333333333333,1.3333333333333333,0,y,y
SD00010486,2.0611111112,1.6,2.8,1.4,0.6,0,y,y
SD00010488,2.523809524,12,0,0,4,5,n,y
SD00010489,NA,NA,NA,NA,NA,NA,y,y
SD00010490,2.002222222,4.666666666666667,4.333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,y,y
SD00010491,2.888888889,1,3,1,4,0,y,y
SD00010492,2.0996031745,0.8333333333333334,2.3333333333333335,0.16666666666666666,0.8333333333333334,0,y,y
SD00010494,2.909090909,4,5,4,7,2,y,y
SD00010495,2.5165945169999997,2.3333333333333335,3.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,y,y
SD00010497,2.2470588235,2,5,3,1,0,y,y
SD00010499,2.0555555555,2.5,3,0,0.5,0,y,y
SD00010500,3.263157895,2,4,2,9,2,y,y
SD00010502,2,0,1,0,0,0,y,n
SD00010503,2.8958333334999997,0.5,2.5,1.5,2.5,0,y,y
SD00010505,2.7584560873333333,1.6666666666666667,4.833333333333333,1.5,4.166666666666667,1.1666666666666667,y,y
SD00010507,4.5588235295,0,0.5,1,4,3.5,y,y
SD00010508,1.6854166667500001,3.5,4.75,0,0.5,0,y,y
SD00010509,3.617021277,6,10,3,5,23,y,y
SD00010510,1.5866666666666667,5,4,1,0,0.3333333333333333,y,y
